admin0,admin1,date,cases,deaths
Ecuador,Sto. Domingo Tsachilas,5/2/2020,285,34
Ecuador,Sucumbios,5/2/2020,45,2
Ecuador,Tungurahua,5/2/2020,200,32
Ecuador,Zamora Chinchipe,5/2/2020,60,2
Ecuador,Azuay,6/2/2020,900,33
Ecuador,Bolivar,6/2/2020,321,28
Ecuador,Canar,6/2/2020,344,30
Ecuador,Carchi,6/2/2020,168,12
Ecuador,Chimborazo,6/2/2020,433,111
Ecuador,Cotopaxi,6/2/2020,483,57
Ecuador,El Oro,6/2/2020,1210,189
Ecuador,Esmeraldas,6/2/2020,986,85
Ecuador,Galapagos,6/2/2020,76,1
Ecuador,Guayas,6/2/2020,14128,1418
Ecuador,Imbabura,6/2/2020,222,14
Ecuador,Loja,6/2/2020,448,25
Ecuador,Los Rios,6/2/2020,1545,205
Ecuador,Manabi,6/2/2020,2379,450
Ecuador,Morona Santiago,6/2/2020,131,5
Ecuador,Napo,6/2/2020,229,18
Ecuador,Orellana,6/2/2020,273,4
Ecuador,Pastaza,6/2/2020,282,5
Ecuador,Pichincha,6/2/2020,4087,311
Ecuador,Santa Elena,6/2/2020,795,281
Ecuador,Sto. Domingo Tsachilas,6/2/2020,1111,78
Ecuador,Sucumbios,6/2/2020,133,5
Ecuador,Tungurahua,6/2/2020,527,68
Ecuador,Zamora Chinchipe,6/2/2020,247,5
Ecuador,Azuay,7/2/2020,1843,60
Ecuador,Bolivar,7/2/2020,690,37
Ecuador,Canar,7/2/2020,548,45
Ecuador,Carchi,7/2/2020,320,17
Ecuador,Chimborazo,7/2/2020,783,156
Ecuador,Cotopaxi,7/2/2020,1148,125
Ecuador,El Oro,7/2/2020,2073,252
Ecuador,Esmeraldas,7/2/2020,2156,139
Ecuador,Galapagos,7/2/2020,97,1
Ecuador,Guayas,7/2/2020,15973,1600
Ecuador,Imbabura,7/2/2020,617,40
Ecuador,Loja,7/2/2020,981,45
Ecuador,Los Rios,7/2/2020,2320,268
Ecuador,Manabi,7/2/2020,4551,636
Ecuador,Morona Santiago,7/2/2020,849,10
Ecuador,Napo,7/2/2020,613,33
Ecuador,Orellana,7/2/2020,775,19
Ecuador,Pastaza,7/2/2020,760,22
Ecuador,Pichincha,7/2/2020,8253,527
Ecuador,Santa Elena,7/2/2020,943,326
Ecuador,Sto. Domingo Tsachilas,7/2/2020,2151,136
Ecuador,Sucumbios,7/2/2020,430,21
Ecuador,Tungurahua,7/2/2020,1072,107
Ecuador,Zamora Chinchipe,7/2/2020,584,17
Ecuador,Azuay,8/2/2020,3469,72
Ecuador,Bolivar,8/2/2020,1160,51
Ecuador,Canar,8/2/2020,755,51
Ecuador,Carchi,8/2/2020,923,29
Ecuador,Chimborazo,8/2/2020,1464,221
Ecuador,Cotopaxi,8/2/2020,2132,168
Ecuador,El Oro,8/2/2020,3248,334
Ecuador,Esmeraldas,8/2/2020,3231,186
Ecuador,Galapagos,8/2/2020,103,1
Ecuador,Guayas,8/2/2020,17583,1657
Ecuador,Imbabura,8/2/2020,1513,72
Ecuador,Loja,8/2/2020,2620,87
Ecuador,Los Rios,8/2/2020,2869,316
Ecuador,Manabi,8/2/2020,6577,800
Ecuador,Morona Santiago,8/2/2020,2056,14
Ecuador,Napo,8/2/2020,947,49
Ecuador,Orellana,8/2/2020,1336,34
Ecuador,Pastaza,8/2/2020,1377,44
Ecuador,Pichincha,8/2/2020,14972,729
Ecuador,Santa Elena,8/2/2020,1151,331
Ecuador,Sto. Domingo Tsachilas,8/2/2020,3715,249
Ecuador,Sucumbios,8/2/2020,1220,50
Ecuador,Tungurahua,8/2/2020,2157,171
Ecuador,Zamora Chinchipe,8/2/2020,990,34
Ecuador,Azuay,5/3/2020,551,16
Ecuador,Bolivar,5/3/2020,191,13
Ecuador,Canar,5/3/2020,377,10
Ecuador,Carchi,5/3/2020,66,6
Ecuador,Chimborazo,5/3/2020,215,52
Ecuador,Cotopaxi,5/3/2020,135,25
Ecuador,El Oro,5/3/2020,624,106
Ecuador,Esmeraldas,5/3/2020,223,28
Ecuador,Galapagos,5/3/2020,71,1
Ecuador,Guayas,5/3/2020,13053,683
Ecuador,Imbabura,5/3/2020,99,9
Ecuador,Loja,5/3/2020,316,16
Ecuador,Los Rios,5/3/2020,931,59
Ecuador,Manabi,5/3/2020,934,206
Ecuador,Morona Santiago,5/3/2020,79,1
Ecuador,Napo,5/3/2020,40,3
Ecuador,Orellana,5/3/2020,39,1
Ecuador,Pastaza,5/3/2020,64,3
Ecuador,Pichincha,5/3/2020,1698,91
Ecuador,Santa Elena,5/3/2020,583,164
Ecuador,Sto. Domingo Tsachilas,5/3/2020,324,35
Ecuador,Sucumbios,5/3/2020,45,2
Ecuador,Tungurahua,5/3/2020,203,32
Ecuador,Zamora Chinchipe,5/3/2020,76,2
Ecuador,Azuay,6/3/2020,930,36
Ecuador,Bolivar,6/3/2020,328,29
Ecuador,Canar,6/3/2020,352,31
Ecuador,Carchi,6/3/2020,169,12
Ecuador,Chimborazo,6/3/2020,444,111
Ecuador,Cotopaxi,6/3/2020,503,57
Ecuador,El Oro,6/3/2020,1213,192
Ecuador,Esmeraldas,6/3/2020,1036,91
Ecuador,Galapagos,6/3/2020,76,1
Ecuador,Guayas,6/3/2020,14184,1430
Ecuador,Imbabura,6/3/2020,226,14
Ecuador,Loja,6/3/2020,455,26
Ecuador,Los Rios,6/3/2020,1591,209
Ecuador,Manabi,6/3/2020,2516,456
Ecuador,Morona Santiago,6/3/2020,138,5
Ecuador,Napo,6/3/2020,238,20
Ecuador,Orellana,6/3/2020,283,5
Ecuador,Pastaza,6/3/2020,304,5
Ecuador,Pichincha,6/3/2020,4166,319
Ecuador,Santa Elena,6/3/2020,799,281
Ecuador,Sto. Domingo Tsachilas,6/3/2020,1138,78
Ecuador,Sucumbios,6/3/2020,135,5
Ecuador,Tungurahua,6/3/2020,533,68
Ecuador,Zamora Chinchipe,6/3/2020,253,5
Ecuador,Azuay,7/3/2020,1889,65
Ecuador,Bolivar,7/3/2020,719,41
Ecuador,Canar,7/3/2020,549,45
Ecuador,Carchi,7/3/2020,331,17
Ecuador,Chimborazo,7/3/2020,801,156
Ecuador,Cotopaxi,7/3/2020,1180,126
Ecuador,El Oro,7/3/2020,2135,268
Ecuador,Esmeraldas,7/3/2020,2157,140
Ecuador,Galapagos,7/3/2020,97,1
Ecuador,Guayas,7/3/2020,16013,1613
Ecuador,Imbabura,7/3/2020,665,40
Ecuador,Loja,7/3/2020,1046,46
Ecuador,Los Rios,7/3/2020,2346,272
Ecuador,Manabi,7/3/2020,4615,636
Ecuador,Morona Santiago,7/3/2020,909,11
Ecuador,Napo,7/3/2020,639,33
Ecuador,Orellana,7/3/2020,810,19
Ecuador,Pastaza,7/3/2020,792,22
Ecuador,Pichincha,7/3/2020,8574,532
Ecuador,Santa Elena,7/3/2020,944,326
Ecuador,Sto. Domingo Tsachilas,7/3/2020,2197,145
Ecuador,Sucumbios,7/3/2020,516,21
Ecuador,Tungurahua,7/3/2020,1180,107
Ecuador,Zamora Chinchipe,7/3/2020,597,18
Ecuador,Azuay,8/3/2020,3534,72
Ecuador,Bolivar,8/3/2020,1164,52
Ecuador,Canar,8/3/2020,758,51
Ecuador,Carchi,8/3/2020,923,29
Ecuador,Chimborazo,8/3/2020,1500,223
Ecuador,Cotopaxi,8/3/2020,2134,168
Ecuador,El Oro,8/3/2020,3291,334
Ecuador,Esmeraldas,8/3/2020,3233,186
Ecuador,Galapagos,8/3/2020,103,1
Ecuador,Guayas,8/3/2020,17593,1657
Ecuador,Imbabura,8/3/2020,1513,72
Ecuador,Loja,8/3/2020,2742,92
Ecuador,Los Rios,8/3/2020,2877,316
Ecuador,Manabi,8/3/2020,6688,805
Ecuador,Morona Santiago,8/3/2020,2058,14
Ecuador,Napo,8/3/2020,947,49
Ecuador,Orellana,8/3/2020,1336,34
Ecuador,Pastaza,8/3/2020,1377,44
Ecuador,Pichincha,8/3/2020,15013,729
Ecuador,Santa Elena,8/3/2020,1156,331
Ecuador,Sto. Domingo Tsachilas,8/3/2020,3768,249
Ecuador,Sucumbios,8/3/2020,1220,53
Ecuador,Tungurahua,8/3/2020,2167,171
Ecuador,Zamora Chinchipe,8/3/2020,990,35
Ecuador,Azuay,5/4/2020,569,16
Ecuador,Bolivar,5/4/2020,176,13
Ecuador,Canar,5/4/2020,389,10
Ecuador,Carchi,5/4/2020,69,7
Ecuador,Chimborazo,5/4/2020,220,54
Ecuador,Cotopaxi,5/4/2020,138,25
Ecuador,El Oro,5/4/2020,643,106
Ecuador,Esmeraldas,5/4/2020,242,29
Ecuador,Galapagos,5/4/2020,71,1
Ecuador,Guayas,5/4/2020,14192,683
Ecuador,Imbabura,5/4/2020,99,9
Ecuador,Loja,5/4/2020,315,14
Ecuador,Los Rios,5/4/2020,1284,59
Ecuador,Manabi,5/4/2020,1382,206
Ecuador,Morona Santiago,5/4/2020,79,1
Ecuador,Napo,5/4/2020,42,3
Ecuador,Orellana,5/4/2020,39,1
Ecuador,Pastaza,5/4/2020,67,3
Ecuador,Pichincha,5/4/2020,1732,91
Ecuador,Santa Elena,5/4/2020,596,166
Ecuador,Sto. Domingo Tsachilas,5/4/2020,313,36
Ecuador,Sucumbios,5/4/2020,42,2
Ecuador,Tungurahua,5/4/2020,206,32
Ecuador,Zamora Chinchipe,5/4/2020,76,2
Ecuador,Azuay,6/4/2020,956,36
Ecuador,Bolivar,6/4/2020,337,29
Ecuador,Canar,6/4/2020,360,31
Ecuador,Carchi,6/4/2020,170,12
Ecuador,Chimborazo,6/4/2020,456,117
Ecuador,Cotopaxi,6/4/2020,512,59
Ecuador,El Oro,6/4/2020,1223,193
Ecuador,Esmeraldas,6/4/2020,1061,92
Ecuador,Galapagos,6/4/2020,76,1
Ecuador,Guayas,6/4/2020,14276,1456
Ecuador,Imbabura,6/4/2020,231,14
Ecuador,Loja,6/4/2020,460,27
Ecuador,Los Rios,6/4/2020,1649,211
Ecuador,Manabi,6/4/2020,2672,456
Ecuador,Morona Santiago,6/4/2020,138,5
Ecuador,Napo,6/4/2020,267,20
Ecuador,Orellana,6/4/2020,289,5
Ecuador,Pastaza,6/4/2020,306,6
Ecuador,Pichincha,6/4/2020,4279,320
Ecuador,Santa Elena,6/4/2020,814,285
Ecuador,Sto. Domingo Tsachilas,6/4/2020,1150,79
Ecuador,Sucumbios,6/4/2020,135,7
Ecuador,Tungurahua,6/4/2020,548,68
Ecuador,Zamora Chinchipe,6/4/2020,254,5
Ecuador,Azuay,7/4/2020,1917,66
Ecuador,Bolivar,7/4/2020,740,41
Ecuador,Canar,7/4/2020,558,45
Ecuador,Carchi,7/4/2020,354,17
Ecuador,Chimborazo,7/4/2020,820,160
Ecuador,Cotopaxi,7/4/2020,1203,130
Ecuador,El Oro,7/4/2020,2156,275
Ecuador,Esmeraldas,7/4/2020,2186,145
Ecuador,Galapagos,7/4/2020,100,1
Ecuador,Guayas,7/4/2020,16094,1624
Ecuador,Imbabura,7/4/2020,712,42
Ecuador,Loja,7/4/2020,1061,47
Ecuador,Los Rios,7/4/2020,2415,274
Ecuador,Manabi,7/4/2020,4643,639
Ecuador,Morona Santiago,7/4/2020,992,11
Ecuador,Napo,7/4/2020,652,33
Ecuador,Orellana,7/4/2020,821,19
Ecuador,Pastaza,7/4/2020,805,23
Ecuador,Pichincha,7/4/2020,8806,549
Ecuador,Santa Elena,7/4/2020,946,326
Ecuador,Sto. Domingo Tsachilas,7/4/2020,2269,149
Ecuador,Sucumbios,7/4/2020,521,21
Ecuador,Tungurahua,7/4/2020,1203,111
